epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6679,2.61901,4.3324,2.1687,0.0023,0.49128,0.01708,0.00472,2.49113,4.29465,2.04951,0.00010002,0.00010002,0.00010002
2,132.327,2.29279,3.60513,1.83139,0.005,0.81977,0.14236,0.03877,2.21837,3.98066,1.65407,0.000195256,0.000195256,0.000195256
3,193.524,2.33243,2.73798,1.79521,0.00628,0.88953,0.24976,0.09023,2.15597,3.75421,1.55599,0.000267387,0.000267387,0.000267387
4,254.433,2.26001,2.44269,1.74546,0.00692,0.88953,0.20508,0.06676,2.20604,3.7354,1.58292,0.000316413,0.000316413,0.000316413
5,314.87,2.19526,2.49066,1.58348,0.00695,0.89535,0.32036,0.09346,2.16411,3.57458,1.49928,0.000342335,0.000342335,0.000342335
6,374.558,2.17477,2.38559,1.64875,0.00636,0.84884,0.27724,0.08354,2.20788,3.59398,1.60181,0.000345152,0.000345152,0.000345152
7,434.39,2.11011,2.22984,1.63139,0.00893,0.85465,0.39267,0.09852,2.2066,3.45423,1.5864,0.000324865,0.000324865,0.000324865
8,494.818,2.12211,2.18194,1.63836,1,0.0144,0.37174,0.09808,2.20741,3.36022,1.58543,0.000281473,0.000281473,0.000281473
9,556.999,2.1225,2.10388,1.65813,1,0.02871,0.39676,0.10475,2.23748,3.22985,1.57416,0.000214976,0.000214976,0.000214976
10,617.129,2.07212,2.05853,1.60079,0.96293,0.07272,0.43012,0.11782,2.24552,3.15183,1.55871,0.000125375,0.000125375,0.000125375
